Local_3_I.Data_x.Data_000,Local_3_O.Data_x.Data_000,Local_3_S.ScanCounter
Local_3_I.Data_x.Data_083,Local_3_O.Data_x.Data_083,Local_3_S.DeviceStatus_x.DeviceStatus_46
Local_3_I.Data_x.Data_084,Local_3_O.Data_x.Data_084,Local_3_S.DeviceStatus_x.DeviceStatus_47
Local_3_I.Data_x.Data_085,Local_3_O.Data_x.Data_085,Local_3_S.DeviceStatus_x.DeviceStatus_48
Local_3_I.Data_x.Data_086,Local_3_O.Data_x.Data_086,Local_3_S.DeviceStatus_x.DeviceStatus_49
Local_3_I.Data_x.Data_087,Local_3_O.Data_x.Data_087,Local_3_S.DeviceStatus_x.DeviceStatus_50
Local_3_I.Data_x.Data_088,Local_3_O.Data_x.Data_088,Local_3_S.DeviceStatus_x.DeviceStatus_51
Local_3_I.Data_x.Data_089,Local_3_O.Data_x.Data_089,Local_3_S.DeviceStatus_x.DeviceStatus_52
Local_3_I.Data_x.Data_090,Local_3_O.Data_x.Data_090,Local_3_S.DeviceStatus_x.DeviceStatus_53
Local_3_I.Data_x.Data_091,Local_3_O.Data_x.Data_091,Local_3_S.DeviceStatus_x.DeviceStatus_54
Local_3_I.Data_x.Data_092,Local_3_O.Data_x.Data_092,Local_3_S.DeviceStatus_x.DeviceStatus_55
Local_3_I.Data_x.Data_093,Local_3_O.Data_x.Data_093,Local_3_S.DeviceStatus_x.DeviceStatus_56
Local_3_I.Data_x.Data_094,Local_3_O.Data_x.Data_094,Local_3_S.DeviceStatus_x.DeviceStatus_57
Local_3_I.Data_x.Data_095,Local_3_O.Data_x.Data_095,Local_3_S.DeviceStatus_x.DeviceStatus_58
Local_3_I.Data_x.Data_096,Local_3_O.Data_x.Data_096,Local_3_S.DeviceStatus_x.DeviceStatus_59
Local_3_I.Data_x.Data_097,Local_3_O.Data_x.Data_097,Local_3_S.DeviceStatus_x.DeviceStatus_60
Local_3_I.Data_x.Data_098,Local_3_O.Data_x.Data_098,Local_3_S.DeviceStatus_x.DeviceStatus_61
Local_3_I.Data_x.Data_099,Local_3_O.Data_x.Data_099,Local_3_S.DeviceStatus_x.DeviceStatus_62
Local_3_I.Data_x.Data_100,Local_3_O.Data_x.Data_100,Local_3_S.DeviceStatus_x.DeviceStatus_63
Local_3_I.Data_x.Data_101,Local_3_O.Data_x.Data_101,Local_3_S.reserved_x.reserved_00
Local_3_I.Data_x.Data_102,Local_3_O.Data_x.Data_102,Local_3_S.reserved_x.reserved_01
Local_3_I.Data_x.Data_103,Local_3_O.Data_x.Data_103,Local_3_S.reserved_x.reserved_02
Local_3_I.Data_x.Data_104,Local_3_O.Data_x.Data_104,Local_3_S.reserved_x.reserved_03
Local_3_I.Data_x.Data_105,Local_3_O.Data_x.Data_105,Local_3_S.reserved_x.reserved_04
Local_3_I.Data_x.Data_106,Local_3_O.Data_x.Data_106,Local_3_S.reserved_x.reserved_05
Local_3_I.Data_x.Data_107,Local_3_O.Data_x.Data_107,Local_3_S.reserved_x.reserved_06
Local_3_I.Data_x.Data_108,Local_3_O.Data_x.Data_108,Local_3_S.reserved_x.reserved_07
Local_3_I.Data_x.Data_109,Local_3_O.Data_x.Data_109,Local_3_S.reserved_x.reserved_08
Local_3_I.Data_x.Data_110,Local_3_O.Data_x.Data_110,Local_3_S.reserved_x.reserved_09
Local_3_I.Data_x.Data_111,Local_3_O.Data_x.Data_111,Local_3_S.reserved_x.reserved_10
Local_3_I.Data_x.Data_112,Local_3_O.Data_x.Data_112,Local_3_S.reserved_x.reserved_11
Local_3_I.Data_x.Data_113,Local_3_O.Data_x.Data_113,Local_3_S.reserved_x.reserved_12
Local_3_I.Data_x.Data_114,Local_3_O.Data_x.Data_114,Local_3_S.reserved_x.reserved_13
Local_3_I.Data_x.Data_115,Local_3_O.Data_x.Data_115,Local_3_S.reserved_x.reserved_14
Local_3_I.Data_x.Data_116,Local_3_O.Data_x.Data_116,Local_3_S.reserved_x.reserved_15
Local_3_I.Data_x.Data_117,Local_3_O.Data_x.Data_117,Local_3_S.reserved_x.reserved_16
Local_3_I.Data_x.Data_118,Local_3_O.Data_x.Data_118,Local_3_S.reserved_x.reserved_17
Local_3_I.Data_x.Data_119,Local_3_O.Data_x.Data_119,Local_3_S.reserved_x.reserved_18
Local_3_I.Data_x.Data_120,Local_3_O.Data_x.Data_120,Local_3_S.reserved_x.reserved_19
Local_3_I.Data_x.Data_121,Local_3_O.Data_x.Data_121,Local_3_S.StatusDisplay_x.StatusDisplay_0
Local_3_I.Data_x.Data_122,Local_3_O.Data_x.Data_122,Local_3_S.StatusDisplay_x.StatusDisplay_1
Local_3_I.Data_x.Data_123,Local_3_O.CommandRegister.DisableNetwork,Local_3_S.StatusDisplay_x.StatusDisplay_2
Local_3_I.StatusRegister.Autoverify,Local_3_O.CommandRegister.Fault,Local_3_S.StatusDisplay_x.StatusDisplay_3
Local_3_I.StatusRegister.CommFailure,Local_3_O.CommandRegister.HaltScanner,
Local_3_I.StatusRegister.DeviceFailure,Local_3_O.CommandRegister.RegisterBits,
Local_3_I.StatusRegister.DisableNetwork,Local_3_O.CommandRegister.Reset,
Local_3_I.StatusRegister.DnetPowerDetect,Local_3_O.CommandRegister.Run,
Local_3_I.StatusRegister.DupNodeFail,,
Local_3_I.StatusRegister.Fault,,
Local_3_I.StatusRegister.RegisterBits,,
Local_3_I.StatusRegister.Run,,
